src_file,category,dst_file
tests/pass/stacked_borrows/unknown-bottom-gc.rs,Exit 0,miri-tests/pass/stacked_borrows/unknown-bottom-gc.rs
tests/pass/stacked_borrows/stacked-borrows.rs,Aliasing UB,miri-tests/fail/aliasing/stacked_borrows/stacked-borrows.rs
tests/pass/both_borrows/basic_aliasing_model.rs,Exit 0,miri-tests/pass/both_borrows/basic_aliasing_model.rs
tests/pass/0weak_memory/weak.rs,Excluded,
tests/pass/both_borrows/2phase.rs,Exit 0,miri-tests/pass/both_borrows/2phase.rs
tests/pass/both_borrows/issue-miri-2389.rs,Exit 0,miri-tests/pass/both_borrows/issue-miri-2389.rs
tests/pass/both_borrows/interior_mutability.rs,Exit 0,miri-tests/pass/both_borrows/interior_mutability.rs
tests/pass/tls/win_tls_callback.rs,Excluded,
tests/pass/both_borrows/unsafe_pinned.rs,Exit 0,miri-tests/pass/both_borrows/unsafe_pinned.rs
tests/pass/both_borrows/maybe_dangling.rs,Exit 0,miri-tests/pass/both_borrows/maybe_dangling.rs
tests/pass/tls/windows-tls.rs,Excluded,
tests/pass/tls/macos_tlv_atexit.rs,Excluded,
tests/pass/both_borrows/smallvec.rs,Exit 0,miri-tests/pass/both_borrows/smallvec.rs
tests/pass/shims/ptr_mask.rs,Exit 0,miri-tests/pass/shims/ptr_mask.rs
tests/pass/intrinsics/fmuladd_nondeterministic.rs,Excluded,
tests/pass/shims/socket.rs,Exit 1,
tests/pass/shims/pipe.rs,Exit 0,miri-tests/pass/shims/pipe.rs
tests/pass/both_borrows/int-to-ptr.rs,Exit 0,miri-tests/pass/both_borrows/int-to-ptr.rs
tests/pass/shims/sleep_long.rs,Exit 1,
tests/pass/shims/ctor.rs,Exit 0,miri-tests/pass/shims/ctor.rs
tests/pass/intrinsics/intrinsics.rs,Excluded,
tests/pass/shims/fs-with-isolation.rs,Exit 1,
tests/pass/shims/available-parallelism-miri-num-cpus.rs,Exit 1,
tests/pass/shims/io.rs,Exit 0,miri-tests/pass/shims/io.rs
tests/pass/shims/random.rs,Exit 0,miri-tests/pass/shims/random.rs
tests/pass/tree_borrows/sb_fails.rs,Exit 0,miri-tests/pass/tree_borrows/sb_fails.rs
tests/pass/shims/time.rs,Exit 1,
tests/pass/shims/available-parallelism.rs,Exit 0,miri-tests/pass/shims/available-parallelism.rs
tests/pass/shims/exit.rs,Exit 0,miri-tests/pass/shims/exit.rs
tests/pass/tree_borrows/copy-nonoverlapping.rs,Exit 0,miri-tests/pass/tree_borrows/copy-nonoverlapping.rs
